Year,Province,Sector,Use of Funds,Current dollars,Current dollars per capita
1983,Yukon,Private,Other Professionals,"2,007,200",85
1984,Yukon,Private,Other Professionals,"2,079,800",87
1985,Yukon,Private,Other Professionals,"2,066,200",85
1986,Yukon,Private,Other Professionals,"1,978,900",81
1987,Yukon,Private,Other Professionals,"1,965,600",76
1988,Yukon,Private,Other Professionals,"1,738,100",65
1989,Yukon,Private,Other Professionals,"1,762,800",65
1990,Yukon,Private,Other Professionals,"1,677,000",60
1991,Yukon,Private,Other Professionals,"2,131,400",74
1992,Yukon,Private,Other Professionals,"2,077,200",69
1993,Yukon,Private,Other Professionals,"4,072,880",134
1994,Yukon,Private,Other Professionals,"3,949,788",133
1995,Yukon,Private,Other Professionals,"3,984,078",131
1996,Yukon,Private,Other Professionals,"5,808,182",185
1997,Yukon,Private,Other Professionals,"7,639,902",240
1998,Yukon,Private,Other Professionals,"6,966,445",224
1999,Yukon,Private,Other Professionals,"7,075,954",230
2000,Yukon,Private,Other Professionals,"7,674,245",252
2001,Yukon,Private,Other Professionals,"9,576,960",318
2002,Yukon,Private,Other Professionals,"10,580,864",349
2003,Yukon,Private,Other Professionals,"10,148,338",328
2004,Yukon,Private,Other Professionals,"10,600,835",337
2005,Yukon,Private,Other Professionals,"8,928,282",280
2006,Yukon,Private,Other Professionals,"8,977,329",278
2007,Yukon,Private,Other Professionals,"13,042,672",401
2008,Yukon,Private,Other Professionals,"13,600,622",411
2009,Yukon,Private,Other Professionals,"14,321,995",425
2010,Yukon,Private,Other Professionals,"14,599,804",422
2011,Yukon,Private,Other Professionals,"15,270,380",431
2012,Yukon,Private,Other Professionals,"17,249,414",476
2013,Yukon,Private,Other Professionals,"17,462,005",478
2014,Yukon,Private,Other Professionals,"18,145,019",489
2015,Yukon,Private,Other Professionals,"16,722,739",444
2016,Yukon,Private,Other Professionals,"17,526,239",455
2017,Yukon,Private,Other Professionals,"17,513,404",442
2018,Yukon,Private,Other Professionals,"18,623,656",460
2019,Yukon,Private,Other Professionals,"19,811,780",488
1975,Yukon,Private,Drugs,"1,607,700",73
1976,Yukon,Private,Drugs,"1,924,200",86
1977,Yukon,Private,Drugs,"1,955,300",87
1978,Yukon,Private,Drugs,"2,024,800",87
1979,Yukon,Private,Drugs,"2,295,800",100
1980,Yukon,Private,Drugs,"2,520,100",109
1981,Yukon,Private,Drugs,"2,502,300",105
1982,Yukon,Private,Drugs,"2,710,200",110
1983,Yukon,Private,Drugs,"2,646,200",112
1984,Yukon,Private,Drugs,"2,699,800",113
1985,Yukon,Private,Drugs,"2,642,000",108
1986,Yukon,Private,Drugs,"2,493,200",102
1987,Yukon,Private,Drugs,"2,440,300",95
1988,Yukon,Private,Drugs,"2,126,100",80
1989,Yukon,Private,Drugs,"2,124,400",78
1990,Yukon,Private,Drugs,"1,990,300",71
1991,Yukon,Private,Drugs,"2,490,500",86
1992,Yukon,Private,Drugs,"3,429,310",114
1993,Yukon,Private,Drugs,"4,633,696",153
1994,Yukon,Private,Drugs,"4,019,036",135
1995,Yukon,Private,Drugs,"4,311,214",142
1996,Yukon,Private,Drugs,"5,297,704",169
1997,Yukon,Private,Drugs,"6,645,771",209
1998,Yukon,Private,Drugs,"6,225,853",200
1999,Yukon,Private,Drugs,"6,592,172",214
2000,Yukon,Private,Drugs,"7,117,981",234
2001,Yukon,Private,Drugs,"7,604,545",252
2002,Yukon,Private,Drugs,"8,137,328",268
2003,Yukon,Private,Drugs,"8,846,545",286
2004,Yukon,Private,Drugs,"9,282,442",295
2005,Yukon,Private,Drugs,"9,747,720",306
2006,Yukon,Private,Drugs,"10,767,432",334
2007,Yukon,Private,Drugs,"11,171,114",343
2008,Yukon,Private,Drugs,"11,094,510",335
2009,Yukon,Private,Drugs,"12,232,905",363
2010,Yukon,Private,Drugs,"12,192,095",352
2011,Yukon,Private,Drugs,"12,670,788",358
2012,Yukon,Private,Drugs,"13,323,091",368
2013,Yukon,Private,Drugs,"13,362,280",366
2014,Yukon,Private,Drugs,"13,783,615",371
2015,Yukon,Private,Drugs,"16,136,695",428
2016,Yukon,Private,Drugs,"16,970,433",440
2017,Yukon,Private,Drugs,"17,157,802",433
2018,Yukon,Private,Drugs,"17,576,203",434
2019,Yukon,Private,Drugs,"18,281,641",450
1975,Yukon,Private,Capital,0,0
1976,Yukon,Private,Capital,0,0
1977,Yukon,Private,Capital,0,0
1978,Yukon,Private,Capital,0,0
1979,Yukon,Private,Capital,0,0
1980,Yukon,Private,Capital,0,0
1981,Yukon,Private,Capital,0,0
1982,Yukon,Private,Capital,0,0
1983,Yukon,Private,Capital,0,0
1984,Yukon,Private,Capital,0,0
1985,Yukon,Private,Capital,0,0
1986,Yukon,Private,Capital,0,0
1987,Yukon,Private,Capital,0,0
1988,Yukon,Private,Capital,0,0
1989,Yukon,Private,Capital,0,0
1990,Yukon,Private,Capital,0,0
1991,Yukon,Private,Capital,0,0
1992,Yukon,Private,Capital,0,0
1993,Yukon,Private,Capital,0,0
1994,Yukon,Private,Capital,0,0
1995,Yukon,Private,Capital,0,0
1996,Yukon,Private,Capital,"4,807,660",153
1997,Yukon,Private,Capital,0,0
1998,Yukon,Private,Capital,"400,000",13
1999,Yukon,Private,Capital,"419,117",14
2000,Yukon,Private,Capital,"466,449",15
2001,Yukon,Private,Capital,"1,833,638",61
2002,Yukon,Private,Capital,"3,500,000",115
2003,Yukon,Private,Capital,"400,000",13
2004,Yukon,Private,Capital,"600,000",19
2005,Yukon,Private,Capital,"899,538",28
2006,Yukon,Private,Capital,"255,923",8
2007,Yukon,Private,Capital,"4,800,000",147
2008,Yukon,Private,Capital,"400,000",12
2009,Yukon,Private,Capital,"3,049,312",90
2010,Yukon,Private,Capital,"1,671,814",48
2011,Yukon,Private,Capital,"1,664,758",47
2012,Yukon,Private,Capital,"3,678,797",102
2013,Yukon,Private,Capital,"846,326",23
2014,Yukon,Private,Capital,"2,771,622",75
2015,Yukon,Private,Capital,"572,238",15
2016,Yukon,Private,Capital,"1,894,835",49
2017,Yukon,Private,Capital,"3,412,653",86
2018,Yukon,Private,Capital,"4,419,290",109
2019,Yukon,Private,Capital,"935,237",23
1975,Yukon,Private,Public Health,0,0
1976,Yukon,Private,Public Health,0,0
1977,Yukon,Private,Public Health,0,0
1978,Yukon,Private,Public Health,0,0
1979,Yukon,Private,Public Health,0,0
1980,Yukon,Private,Public Health,0,0
1981,Yukon,Private,Public Health,0,0
1982,Yukon,Private,Public Health,0,0
1983,Yukon,Private,Public Health,0,0
1984,Yukon,Private,Public Health,0,0
1985,Yukon,Private,Public Health,0,0
1986,Yukon,Private,Public Health,0,0
1987,Yukon,Private,Public Health,0,0
1988,Yukon,Private,Public Health,0,0
1989,Yukon,Private,Public Health,0,0
1990,Yukon,Private,Public Health,0,0
1991,Yukon,Private,Public Health,0,0
1992,Yukon,Private,Public Health,0,0
1993,Yukon,Private,Public Health,0,0
1994,Yukon,Private,Public Health,0,0
1995,Yukon,Private,Public Health,0,0
1996,Yukon,Private,Public Health,0,0
1997,Yukon,Private,Public Health,0,0
1998,Yukon,Private,Public Health,0,0
1999,Yukon,Private,Public Health,0,0
2000,Yukon,Private,Public Health,0,0
2001,Yukon,Private,Public Health,0,0
2002,Yukon,Private,Public Health,0,0
2003,Yukon,Private,Public Health,0,0
2004,Yukon,Private,Public Health,0,0
2005,Yukon,Private,Public Health,0,0
2006,Yukon,Private,Public Health,0,0
2007,Yukon,Private,Public Health,0,0
2008,Yukon,Private,Public Health,0,0
2009,Yukon,Private,Public Health,0,0
2010,Yukon,Private,Public Health,0,0
2011,Yukon,Private,Public Health,0,0
2012,Yukon,Private,Public Health,0,0
2013,Yukon,Private,Public Health,0,0
2014,Yukon,Private,Public Health,0,0
2015,Yukon,Private,Public Health,0,0
2016,Yukon,Private,Public Health,0,0
2017,Yukon,Private,Public Health,0,0
2018,Yukon,Private,Public Health,0,0
2019,Yukon,Private,Public Health,0,0
1975,Yukon,Private,Administration,"303,800",14
1976,Yukon,Private,Administration,"348,300",16
1977,Yukon,Private,Administration,"340,400",15
1978,Yukon,Private,Administration,"340,200",15
1979,Yukon,Private,Administration,"373,400",16
1980,Yukon,Private,Administration,"398,000",17
1981,Yukon,Private,Administration,"384,600",16
1982,Yukon,Private,Administration,"406,300",16
1983,Yukon,Private,Administration,"387,700",16
1984,Yukon,Private,Administration,"387,200",16
1985,Yukon,Private,Administration,"371,700",15
1986,Yukon,Private,Administration,"344,400",14
1987,Yukon,Private,Administration,"331,600",13
1988,Yukon,Private,Administration,"284,500",11
1989,Yukon,Private,Administration,"280,200",10
1990,Yukon,Private,Administration,"259,100",9
1991,Yukon,Private,Administration,"320,300",11
1992,Yukon,Private,Administration,"303,600",10
1993,Yukon,Private,Administration,"568,383",19
1994,Yukon,Private,Administration,"412,996",14
1995,Yukon,Private,Administration,"543,375",18
1996,Yukon,Private,Administration,"395,689",13
1997,Yukon,Private,Administration,"304,964",10
1998,Yukon,Private,Administration,"204,114",7
1999,Yukon,Private,Administration,0,0
2000,Yukon,Private,Administration,"329,740",11
2001,Yukon,Private,Administration,"762,422",25
2002,Yukon,Private,Administration,"1,013,035",33
2003,Yukon,Private,Administration,"1,547,907",50
2004,Yukon,Private,Administration,"1,774,827",56
2005,Yukon,Private,Administration,"1,164,756",37
2006,Yukon,Private,Administration,"1,506,638",47
2007,Yukon,Private,Administration,"1,854,578",57
2008,Yukon,Private,Administration,"2,187,720",66
2009,Yukon,Private,Administration,"2,186,520",65
2010,Yukon,Private,Administration,"2,471,076",71
2011,Yukon,Private,Administration,"3,280,089",93
2012,Yukon,Private,Administration,"6,102,472",168
2013,Yukon,Private,Administration,"4,504,540",123
2014,Yukon,Private,Administration,"4,399,924",118
2015,Yukon,Private,Administration,"3,527,579",94
2016,Yukon,Private,Administration,"6,211,221",161
2017,Yukon,Private,Administration,"5,806,293",147
2018,Yukon,Private,Administration,"6,574,309",162
2019,Yukon,Private,Administration,"6,936,324",171
1975,Yukon,Private,Other Health Spending,"20,500",1
1976,Yukon,Private,Other Health Spending,"23,000",1
1977,Yukon,Private,Other Health Spending,"22,000",1
1978,Yukon,Private,Other Health Spending,"21,500",1
1979,Yukon,Private,Other Health Spending,"23,100",1
1980,Yukon,Private,Other Health Spending,"24,000",1
1981,Yukon,Private,Other Health Spending,"22,700",1
1982,Yukon,Private,Other Health Spending,"23,500",1
1983,Yukon,Private,Other Health Spending,"22,000",1
1984,Yukon,Private,Other Health Spending,"21,500",1
1985,Yukon,Private,Other Health Spending,"20,200",1
1986,Yukon,Private,Other Health Spending,"18,300",1
1987,Yukon,Private,Other Health Spending,"17,300",1
1988,Yukon,Private,Other Health Spending,"14,500",1
1989,Yukon,Private,Other Health Spending,"14,000",1
1990,Yukon,Private,Other Health Spending,"12,600",0
1991,Yukon,Private,Other Health Spending,"15,300",1
1992,Yukon,Private,Other Health Spending,"14,200",0
1993,Yukon,Private,Other Health Spending,"25,037",1
1994,Yukon,Private,Other Health Spending,"91,344",3
1995,Yukon,Private,Other Health Spending,"91,496",3
1996,Yukon,Private,Other Health Spending,"90,480",3
1997,Yukon,Private,Other Health Spending,"114,127",4
1998,Yukon,Private,Other Health Spending,"69,077",2
1999,Yukon,Private,Other Health Spending,"81,090",3
2000,Yukon,Private,Other Health Spending,"88,091",3
2001,Yukon,Private,Other Health Spending,"158,860",5
2002,Yukon,Private,Other Health Spending,"163,681",5
2003,Yukon,Private,Other Health Spending,"111,540",4
2004,Yukon,Private,Other Health Spending,"119,443",4
2005,Yukon,Private,Other Health Spending,"62,187",2
2006,Yukon,Private,Other Health Spending,"61,260",2
2007,Yukon,Private,Other Health Spending,"134,300",4
2008,Yukon,Private,Other Health Spending,"142,639",4
2009,Yukon,Private,Other Health Spending,"129,683",4
2010,Yukon,Private,Other Health Spending,"125,441",4
2011,Yukon,Private,Other Health Spending,"128,632",4
2012,Yukon,Private,Other Health Spending,"207,525",6
2013,Yukon,Private,Other Health Spending,"211,257",6
2014,Yukon,Private,Other Health Spending,"215,055",6
2015,Yukon,Private,Other Health Spending,"341,604",9
2016,Yukon,Private,Other Health Spending,"399,563",10
2017,Yukon,Private,Other Health Spending,"198,411",5
2018,Yukon,Private,Other Health Spending,"277,575",7
2019,Yukon,Private,Other Health Spending,"294,274",7
1975,Yukon,Private,Total,"3,515,300",160
1976,Yukon,Private,Total,"4,327,200",193
1977,Yukon,Private,Total,"4,503,400",200
1978,Yukon,Private,Total,"4,759,900",206
1979,Yukon,Private,Total,"5,493,700",239
1980,Yukon,Private,Total,"6,125,200",266
1981,Yukon,Private,Total,"6,166,500",258
1982,Yukon,Private,Total,"6,761,600",274
1983,Yukon,Private,Total,"6,675,300",282
1984,Yukon,Private,Total,"6,879,300",288
1985,Yukon,Private,Total,"6,794,400",279
1986,Yukon,Private,Total,"5,618,172",230
1987,Yukon,Private,Total,"5,641,759",219
1988,Yukon,Private,Total,"5,215,871",196
1989,Yukon,Private,Total,"5,276,179",194
1990,Yukon,Private,Total,"5,021,812",180
1991,Yukon,Private,Total,"6,071,538",210
1992,Yukon,Private,Total,"6,915,014",230
1993,Yukon,Private,Total,"10,540,706",347
1994,Yukon,Private,Total,"9,905,528",334
1995,Yukon,Private,Total,"10,503,670",345
1996,Yukon,Private,Total,"18,184,023",579
1997,Yukon,Private,Total,"17,238,491",542
1998,Yukon,Private,Total,"16,278,709",523
1999,Yukon,Private,Total,"16,847,281",547
2000,Yukon,Private,Total,"24,736,777",813
2001,Yukon,Private,Total,"27,466,083",911
2002,Yukon,Private,Total,"33,244,274","1,096"
2003,Yukon,Private,Total,"32,323,388","1,045"
2004,Yukon,Private,Total,"35,620,930","1,132"
2005,Yukon,Private,Total,"36,390,733","1,141"
2006,Yukon,Private,Total,"39,017,543","1,209"
2007,Yukon,Private,Total,"51,250,783","1,574"
2008,Yukon,Private,Total,"50,118,874","1,515"
2009,Yukon,Private,Total,"56,096,400","1,663"
2010,Yukon,Private,Total,"60,077,129","1,737"
2011,Yukon,Private,Total,"65,748,526","1,857"
2012,Yukon,Private,Total,"74,913,416","2,067"
2013,Yukon,Private,Total,"75,368,904","2,064"
2014,Yukon,Private,Total,"76,020,383","2,047"
2015,Yukon,Private,Total,"77,402,410","2,054"
2016,Yukon,Private,Total,"85,750,438","2,225"
2017,Yukon,Private,Total,"90,219,949","2,277"
2018,Yukon,Private,Total,"96,338,937","2,380"
2019,Yukon,Private,Total,"96,981,289","2,390"
1975,Northwest Territories,Private,Hospitals,"2,229,500",52
1976,Northwest Territories,Private,Hospitals,"2,410,400",54
1977,Northwest Territories,Private,Hospitals,"2,754,200",62
1978,Northwest Territories,Private,Hospitals,"3,074,700",68
1979,Northwest Territories,Private,Hospitals,"3,266,200",71
1980,Northwest Territories,Private,Hospitals,"3,479,600",75
1981,Northwest Territories,Private,Hospitals,"3,843,500",81
1982,Northwest Territories,Private,Hospitals,"4,054,900",82
1983,Northwest Territories,Private,Hospitals,"4,438,600",87
1984,Northwest Territories,Private,Hospitals,"4,737,200",91
1985,Northwest Territories,Private,Hospitals,"5,101,900",94
1986,Northwest Territories,Private,Hospitals,"5,822,695",107
1987,Northwest Territories,Private,Hospitals,"6,817,876",124
1988,Northwest Territories,Private,Hospitals,"8,545,340",153
1989,Northwest Territories,Private,Hospitals,"8,940,740",156
1990,Northwest Territories,Private,Hospitals,"8,910,351",151
1991,Northwest Territories,Private,Hospitals,"8,913,390",146
1992,Northwest Territories,Private,Hospitals,"8,761,447",141
1993,Northwest Territories,Private,Hospitals,"8,618,620",136
1994,Northwest Territories,Private,Hospitals,"8,064,027",124
1995,Northwest Territories,Private,Hospitals,"5,082,010",77
1996,Northwest Territories,Private,Hospitals,"4,274,770",63
